id,name,nature,culture,entertainment,food,activity,tags,latitude,longitude,image_url,district
106,烏山頂泥火山,1,0.3,0.2,0.1,0.6,"風景,生態,地質",22.79604696,120.4059575,https://conservation.forest.gov.tw/Attachments/ArticlePictures/110000121/thumb/%E6%B3%A5%E7%81%AB%E5%B1%B1%E5%99%B4%E5%87%BAABA_4440_110000121.jpg,燕巢區
107,燕巢雞冠山,1,0.2,0.1,0.1,0.8,"風景,登山",22.80705549,120.3958797,https://www.vrwalker.net/public/sceneryfiles/45/214.jpg,燕巢區
108,南寮漁港,0.8,0.4,0.5,0.9,0.4,"美食,海鮮,海邊",22.76176893,120.2345875,https://image.cdn-eztravel.com.tw/6dgGgWBaCrbAQLmmdZEpRU60AOYqyrNsRby6nR2v3dA/g:ce/aHR0cHM6Ly92YWNhdGlvbi5jZG4tZXp0cmF2ZWwuY29tLnR3L2ltZy9WRFIvSFNaXzE2NTMwNjk4MTcuanBn.jpg,彌陀區
109,漯底山自然公園,1,0.4,0.3,0.1,0.7,"風景,戶外運動,泥火山",22.7709714,120.2531081,https://kaohsiung.fun-taiwan.com/Images/PlayNotes/116626-S20150422031600.jpg,彌陀區
110,高雄市音樂館,0.3,0.9,0.5,0.2,0.2,"藝文,室內,音樂",22.6275208,120.2866369,https://art-garden.khcc.gov.tw/files/space/w640/951446307168b5664256783.jpg,鹽埕區
111,市民廣場,0.6,0.3,0.4,0.3,0.4,"風景,活動",22.62557,120.28558,https://khh.travel/image/1188/1024x768,鹽埕區
112,興達港情人碼頭,0.9,0.3,0.6,0.8,0.5,"風景,海邊,美食",22.86884288,120.1934185,https://theme.maolin-nsa.gov.tw/DMO/att/pic//03006252.jpg,茄萣區
113,蚵子寮漁港,0.8,0.4,0.5,0.9,0.4,"美食,海鮮,海邊",22.72666683,120.2546741,https://khh.travel/image/55731/1920x1080,梓官區
114,澄清湖風景區,1,0.5,0.4,0.2,0.7,"風景,戶外運動,親子",22.6603551,120.3537978,https://khh.travel/image/18659/1920x1080,鳥松區
115,舊鐵橋濕地教育園區,0.9,0.8,0.5,0.3,0.5,"風景,古蹟,打卡點",22.66230956,120.426989,https://khh.travel/image/37575/1920x1080,大樹區
116,鳳山縣舊城,0.4,1,0.2,0.2,0.4,"古蹟,歷史",22.68025,120.29053,https://data.boch.gov.tw/upload/representImageFile/2020-11-23/36d04b34-4916-4ec8-a3ab-9e0c1f0bd9ba/A7_02106-1.jpg,左營區
117,大崗山風景區,1,0.6,0.3,0.4,0.8,"風景,登山,廟宇",22.85971281,120.344969,https://khh.travel/image/37239/1024x768,阿蓮區
118,石頭廟,0.4,1,0.3,0.3,0.3,"廟宇,特色建築",22.83550305,120.3859413,https://khh.travel/image/43508/1920x1080,田寮區
119,大寮包公廟,0.3,1,0.2,0.2,0.2,廟宇,22.58923507,120.410965,https://khh.travel/image/81/1024x768,大寮區
120,高雄市立電影館,0.3,0.9,0.6,0.2,0.1,"藝文,室內,電影",22.62248517,120.2889255,https://www.taiwan.net.tw/att/1/big_scenic_spots/pic_9284.jpg,鹽埕區
